text_aktivitas,kategori,tingkat_aktivitas
Saya keluar dari zona nyaman saya dan meninggalkan pekerjaan yang aman.,Guts,Menengah
Saya berani mengubah hidup saya dengan berpindah ke kota baru.,Guts,Berat
Saya mengambil risiko besar dalam hidup saya ketika memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya melangkah maju meskipun saya merasa takut dengan memulai petualangan baru.,Guts,Menengah
Saya berani menerima tantangan baru meski saya takut gagal.,Guts,Ringan
Saya mengambil langkah besar menuju impian saya meski ada banyak rintangan di depan.,Guts,Menengah
Saya berani berbicara di depan umum meski saya merasa gugup.,Guts,Berat
Saya melangkah maju meskipun saya merasa takut dengan mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya mengambil langkah besar menuju impian saya meski saya khawatir dengan konsekuensinya.,Guts,Menengah
Saya menghadapi ketakutan saya dengan penuh keberanian dan memulai petualangan baru.,Guts,Menengah
Saya memilih untuk berdiri teguh meski ada banyak rintangan di depan.,Guts,Menengah
Saya mengambil risiko besar dalam hidup saya ketika menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Ringan
Saya berani menerima tantangan baru meski saya merasa tidak bisa melakukannya.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena berbicara di depan umum.,Guts,Menengah
Saya mengatasi ketakutan saya ketika mengambil keputusan yang tidak populer.,Guts,Menengah
Saya berani menerima tantangan baru meski saya merasa gugup.,Guts,Ringan
Saya memilih untuk berkembang dengan mengambil menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Ringan
Saya memutuskan untuk keluar dari zona nyaman dengan mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya memutuskan untuk mengejar tujuan saya meski saya tidak yakin dengan hasilnya.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena berpindah ke kota baru.,Guts,Menengah
Saya mengambil keputusan besar dan melangkah maju dengan penuh keyakinan.,Guts,Berat
Saya berani mengubah hidup saya dengan mengambil keputusan yang tidak populer.,Guts,Ringan
Saya melangkah lebih jauh meski ada ketidakpastian dengan berbicara di depan umum.,Guts,Berat
Saya memilih untuk terus berjuang meski saya takut gagal.,Guts,Menengah
Saya berani berbicara di depan umum meski saya takut mengecewakan orang lain.,Guts,Ringan
Saya memilih untuk terus berjuang meski saya belum tahu apakah itu benar-benar tepat untuk saya.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena menghadapi ketakutan terbesar saya.,Guts,Menengah
Saya memilih untuk menjadi lebih berani dan mengambil menghadapi ketakutan terbesar saya.,Guts,Menengah
Saya melangkah lebih jauh meski ada ketidakpastian dengan memutuskan untuk melanjutkan pendidikan.,Guts,Berat
Saya memilih untuk menjadi lebih berani dan mengambil mengambil keputusan yang tidak populer.,Guts,Menengah
Saya berani berbicara di depan umum meski saya merasa tidak siap.,Guts,Ringan
Saya mengambil langkah besar dalam hidup saya dengan memulai usaha sendiri.,Guts,Menengah
Saya memilih untuk berdiri teguh meski saya tidak tahu apakah saya bisa menghadapinya.,Guts,Ringan
Saya memilih untuk terus berjuang meski saya merasa tidak punya cukup pengalaman.,Guts,Berat
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah memutuskan untuk melanjutkan pendidikan.,Guts,Menengah
Saya menghadapi risiko besar karena memutuskan untuk melanjutkan pendidikan.,Guts,Menengah
Saya berani mengubah hidup saya dengan memulai usaha sendiri.,Guts,Menengah
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena meninggalkan pekerjaan yang aman.,Guts,Ringan
Saya mengambil langkah besar menuju impian saya meski banyak halangan yang harus diatasi.,Guts,Menengah
Saya menghadapi risiko besar karena meninggalkan pekerjaan yang aman.,Guts,Berat
Saya menghadapi risiko besar karena mengambil pekerjaan baru di luar negeri.,Guts,Menengah
Saya menghadapi risiko besar karena berbicara di depan umum.,Guts,Menengah
Saya berani berbicara di depan umum meski saya merasa tidak bisa melakukannya.,Guts,Menengah
Saya melangkah maju meskipun saya merasa takut dengan memulai usaha sendiri.,Guts,Ringan
Saya menghadapi tantangan besar dengan penuh keberanian ketika mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya melangkah maju meskipun saya merasa takut dengan berbicara di depan umum.,Guts,Ringan
Saya mengatasi ketakutan saya ketika memulai usaha sendiri.,Guts,Berat
Saya memilih untuk menjadi lebih berani dan mengambil memulai usaha sendiri.,Guts,Menengah
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah mengambil keputusan yang tidak populer.,Guts,Ringan
Saya memilih untuk berkembang dengan mengambil mengambil pekerjaan baru di luar negeri.,Guts,Menengah
Saya memutuskan untuk mengejar tujuan saya meski ada banyak ketidakpastian di depan.,Guts,Berat
Saya melangkah lebih jauh meski ada ketidakpastian dengan menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Berat
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah berpindah ke kota baru.,Guts,Ringan
Saya menghadapi kegagalan dengan kepala tegak setelah menghadapi ketakutan terbesar saya.,Guts,Menengah
Saya melangkah lebih jauh meski ada ketidakpastian dengan menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya mengambil langkah besar dalam hidup saya dengan menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena mengambil pekerjaan baru di luar negeri.,Guts,Berat
Saya menghadapi ketakutan saya dengan penuh keberanian dan mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya menghadapi kegagalan dengan kepala tegak setelah berpindah ke kota baru.,Guts,Menengah
Saya keluar dari zona nyaman saya dan memulai petualangan baru.,Guts,Ringan
Saya memilih untuk terus berjuang meski saya merasa tidak siap.,Guts,Ringan
Saya memilih untuk berdiri teguh meski banyak halangan yang harus diatasi.,Guts,Ringan
Saya mengambil langkah besar dalam hidup saya dengan berbicara di depan umum.,Guts,Menengah
Saya melangkah lebih jauh meski ada ketidakpastian dengan memulai petualangan baru.,Guts,Menengah
Saya keluar dari zona nyaman saya dan memulai usaha sendiri.,Guts,Menengah
Saya memutuskan untuk keluar dari zona nyaman dengan memulai petualangan baru.,Guts,Berat
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena memulai usaha sendiri.,Guts,Berat
Saya mengatasi ketakutan saya ketika menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Berat
Saya mengambil risiko besar dalam hidup saya ketika berpindah ke kota baru.,Guts,Menengah
Saya memilih untuk berkembang dengan mengambil berbicara di depan umum.,Guts,Berat
Saya menghadapi ketidakpastian dengan keyakinan karena memulai usaha sendiri.,Guts,Ringan
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya memilih untuk menjadi lebih berani dan mengambil mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya menghadapi ketidakpastian dengan keyakinan karena mengambil pekerjaan baru di luar negeri.,Guts,Berat
Saya mengambil langkah besar dalam hidup saya dengan meninggalkan pekerjaan yang aman.,Guts,Berat
Saya mengambil risiko besar dalam hidup saya ketika berbicara di depan umum.,Guts,Berat
Saya mengambil risiko besar dalam hidup saya ketika menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya memilih untuk menjadi lebih berani dan mengambil berbicara di depan umum.,Guts,Ringan
Saya mengatasi ketakutan saya ketika berpindah ke kota baru.,Guts,Ringan
Saya menghadapi ketidakpastian dengan keyakinan karena meninggalkan pekerjaan yang aman.,Guts,Ringan
Saya memilih untuk berdiri teguh meski perjalanan ini penuh dengan tantangan.,Guts,Berat
Saya memutuskan untuk keluar dari zona nyaman dengan memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya melangkah lebih jauh meski ada ketidakpastian dengan berpindah ke kota baru.,Guts,Ringan
Saya keluar dari zona nyaman saya dan memutuskan untuk melanjutkan pendidikan.,Guts,Menengah
Saya keluar dari zona nyaman saya dan berbicara di depan umum.,Guts,Ringan
Saya menghadapi kegagalan dengan kepala tegak setelah menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Menengah
Saya berani berbicara di depan umum meski saya takut orang akan menilai saya.,Guts,Menengah
Saya memutuskan untuk mengejar tujuan saya meski saya belum tahu apakah itu benar-benar tepat untuk saya.,Guts,Ringan
Saya berani mengubah hidup saya dengan memutuskan untuk melanjutkan pendidikan.,Guts,Menengah
Saya memilih untuk menjadi lebih berani dan mengambil menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Ringan
Saya melangkah lebih jauh meski ada ketidakpastian dengan mengambil pekerjaan baru di luar negeri.,Guts,Menengah
Saya mengambil langkah besar dalam hidup saya dengan mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya menghadapi tantangan besar dengan penuh keberanian ketika memulai petualangan baru.,Guts,Ringan
Saya mengatasi ketakutan saya ketika menghadapi ketakutan terbesar saya.,Guts,Menengah
Saya menghadapi ketakutan saya dengan penuh keberanian dan berbicara di depan umum.,Guts,Ringan
Saya memutuskan untuk keluar dari zona nyaman dengan memulai usaha sendiri.,Guts,Menengah
Saya menghadapi ketidakpastian dengan keyakinan karena berpindah ke kota baru.,Guts,Menengah
Saya memilih untuk berkembang dengan mengambil meninggalkan pekerjaan yang aman.,Guts,Ringan
Saya memutuskan untuk mengejar tujuan saya meski banyak orang meragukan kemampuan saya.,Guts,Ringan
Saya menghadapi tantangan besar dengan penuh keberanian ketika menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya mengatasi ketakutan saya ketika memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya keluar dari zona nyaman saya dan mengambil keputusan yang tidak populer.,Guts,Menengah
Saya mengambil risiko besar dalam hidup saya ketika meninggalkan pekerjaan yang aman.,Guts,Menengah
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah berbicara di depan umum.,Guts,Menengah
Saya memilih untuk berkembang dengan mengambil memulai petualangan baru.,Guts,Berat
Saya menghadapi tantangan besar dengan penuh keberanian ketika berpindah ke kota baru.,Guts,Berat
Saya memilih untuk berkembang dengan mengambil menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya memilih untuk berdiri teguh meski saya khawatir dengan konsekuensinya.,Guts,Menengah
Saya berani mengubah hidup saya dengan mengambil pekerjaan baru di luar negeri.,Guts,Menengah
Saya mengambil langkah besar menuju impian saya meski saya tidak tahu apakah saya bisa menghadapinya.,Guts,Menengah
Saya memutuskan untuk mengejar tujuan saya meski saya merasa tidak siap.,Guts,Ringan
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena mengambil keputusan yang tidak populer.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena memulai petualangan baru.,Guts,Menengah
Saya memutuskan untuk mengejar tujuan saya meski saya tidak tahu apakah ini akan berhasil.,Guts,Menengah
Saya memutuskan untuk mengejar tujuan saya meski saya merasa tidak punya cukup pengalaman.,Guts,Menengah
Saya berani menerima tantangan baru meski saya takut orang akan menilai saya.,Guts,Ringan
Saya menghadapi ketakutan saya dengan penuh keberanian dan berpindah ke kota baru.,Guts,Berat
Saya memilih untuk terus berjuang meski ada banyak ketidakpastian di depan.,Guts,Ringan
Saya berani mengubah hidup saya dengan memulai petualangan baru.,Guts,Ringan
Saya menghadapi ketidakpastian dengan keyakinan karena menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Ringan
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena berpindah ke kota baru.,Guts,Ringan
Saya memutuskan untuk keluar dari zona nyaman dengan meninggalkan pekerjaan yang aman.,Guts,Ringan
Saya menghadapi tantangan besar dengan penuh keberanian ketika meninggalkan pekerjaan yang aman.,Guts,Berat
Saya memilih untuk berdiri teguh meski saya tidak tahu apakah ini keputusan yang tepat.,Guts,Berat
Saya menghadapi tantangan besar dengan penuh keberanian ketika berbicara di depan umum.,Guts,Ringan
Saya mengambil langkah besar dalam hidup saya dengan memutuskan untuk melanjutkan pendidikan.,Guts,Menengah
Saya keluar dari zona nyaman saya dan berpindah ke kota baru.,Guts,Menengah
Saya menghadapi ketidakpastian dengan keyakinan karena memulai petualangan baru.,Guts,Ringan
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah memulai petualangan baru.,Guts,Menengah
Saya mengambil langkah besar dalam hidup saya dengan mengambil keputusan yang tidak populer.,Guts,Berat
Saya mengambil langkah besar dalam hidup saya dengan menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Berat
Saya menghadapi kegagalan dengan kepala tegak setelah memulai usaha sendiri.,Guts,Ringan
Saya menghadapi ketakutan saya dengan penuh keberanian dan meninggalkan pekerjaan yang aman.,Guts,Ringan
Saya mengambil langkah besar menuju impian saya meski saya tidak tahu apakah ini keputusan yang tepat.,Guts,Berat
Saya keluar dari zona nyaman saya dan mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya berani berbicara di depan umum meski saya takut gagal.,Guts,Ringan
Saya menghadapi ketakutan saya dengan penuh keberanian dan menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya menghadapi kegagalan dengan kepala tegak setelah mengambil pekerjaan baru di luar negeri.,Guts,Menengah
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena berbicara di depan umum.,Guts,Berat
Saya keluar dari zona nyaman saya dan menghadapi ketakutan terbesar saya.,Guts,Berat
Saya menghadapi tantangan besar dengan penuh keberanian ketika menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Menengah
Saya menghadapi risiko besar karena menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Menengah
Saya berani mengubah hidup saya dengan menghadapi ketakutan terbesar saya.,Guts,Menengah
Saya menghadapi tantangan besar dengan penuh keberanian ketika memulai usaha sendiri.,Guts,Berat
Saya memilih untuk menjadi lebih berani dan mengambil memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena memulai petualangan baru.,Guts,Ringan
Saya memutuskan untuk keluar dari zona nyaman dengan berbicara di depan umum.,Guts,Ringan
Saya keluar dari zona nyaman saya dan menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Menengah
Saya menghadapi tantangan besar dengan penuh keberanian ketika memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya memilih untuk menjadi lebih berani dan mengambil memulai petualangan baru.,Guts,Menengah
Saya mengatasi ketakutan saya ketika mengambil pekerjaan baru di luar negeri.,Guts,Menengah
Saya menghadapi ketidakpastian dengan keyakinan karena memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya berani menerima tantangan baru meski saya merasa tidak siap.,Guts,Menengah
Saya mengambil risiko besar dalam hidup saya ketika memulai usaha sendiri.,Guts,Menengah
Saya menghadapi kegagalan dengan kepala tegak setelah meninggalkan pekerjaan yang aman.,Guts,Ringan
Saya memutuskan untuk keluar dari zona nyaman dengan menghadapi ketakutan terbesar saya.,Guts,Menengah
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Menengah
Saya melangkah lebih jauh meski ada ketidakpastian dengan mengambil keputusan yang tidak populer.,Guts,Ringan
Saya mengatasi ketakutan saya ketika berbicara di depan umum.,Guts,Ringan
Saya menghadapi tantangan besar dengan penuh keberanian ketika mengambil keputusan yang tidak populer.,Guts,Ringan
Saya memilih untuk terus berjuang meski banyak orang meragukan kemampuan saya.,Guts,Berat
Saya berani mengubah hidup saya dengan meninggalkan pekerjaan yang aman.,Guts,Menengah
Saya melangkah maju meskipun saya merasa takut dengan menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya mengatasi ketakutan saya ketika memulai petualangan baru.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena memulai usaha sendiri.,Guts,Ringan
Saya mengambil risiko besar dalam hidup saya ketika memulai petualangan baru.,Guts,Ringan
Saya melangkah lebih jauh meski ada ketidakpastian dengan meninggalkan pekerjaan yang aman.,Guts,Ringan
Saya berani menerima tantangan baru meski saya takut mengecewakan orang lain.,Guts,Ringan
Saya mengambil langkah besar dalam hidup saya dengan berpindah ke kota baru.,Guts,Berat
Saya melangkah maju meskipun saya merasa takut dengan memutuskan untuk melanjutkan pendidikan.,Guts,Menengah
Saya berani mengubah hidup saya dengan berbicara di depan umum.,Guts,Menengah
Saya memilih untuk berkembang dengan mengambil berpindah ke kota baru.,Guts,Menengah
Saya melangkah lebih jauh meski ada ketidakpastian dengan memulai usaha sendiri.,Guts,Ringan
Saya menghadapi kegagalan dengan kepala tegak setelah memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena memutuskan untuk melanjutkan pendidikan.,Guts,Berat
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah meninggalkan pekerjaan yang aman.,Guts,Berat
Saya percaya bahwa langkah besar saya akan membawa perubahan setelah memulai usaha sendiri.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena mengambil keputusan yang tidak populer.,Guts,Berat
Saya menghadapi kegagalan dengan kepala tegak setelah mengambil keputusan yang tidak populer.,Guts,Ringan
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya mengambil risiko besar dalam hidup saya ketika mengambil pekerjaan baru di luar negeri.,Guts,Ringan
Saya berani mengubah hidup saya dengan menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Menengah
Saya menghadapi ketakutan saya dengan penuh keberanian dan mengambil keputusan yang tidak populer.,Guts,Berat
Saya menghadapi risiko besar karena memulai usaha sendiri.,Guts,Berat
Saya memilih untuk berkembang dengan mengambil memulai usaha sendiri.,Guts,Menengah
Saya memilih untuk terus berjuang meski saya tidak tahu apakah ini akan berhasil.,Guts,Ringan
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya menghadapi ketakutan saya dengan penuh keberanian dan menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Menengah
Saya mengambil keputusan besar meski ada banyak keraguan karena meninggalkan pekerjaan yang aman.,Guts,Berat
Saya memilih untuk menjadi lebih berani dan mengambil meninggalkan pekerjaan yang aman.,Guts,Berat
Saya memutuskan untuk mengejar tujuan saya meski saya takut gagal.,Guts,Menengah
Saya mengambil risiko besar dalam hidup saya ketika mengambil keputusan yang tidak populer.,Guts,Berat
Saya menghadapi risiko besar karena memulai petualangan baru.,Guts,Ringan
Saya mengatasi ketakutan saya ketika meninggalkan pekerjaan yang aman.,Guts,Ringan
Saya memilih untuk terus berjuang meski saya tidak yakin dengan hasilnya.,Guts,Ringan
Saya menghadapi ketidakpastian dengan keyakinan karena berbicara di depan umum.,Guts,Ringan
Saya melangkah maju meskipun saya merasa takut dengan menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Ringan
Saya memutuskan untuk keluar dari zona nyaman dengan mengambil keputusan yang tidak populer.,Guts,Ringan
Saya melangkah maju meskipun saya merasa takut dengan meninggalkan pekerjaan yang aman.,Guts,Berat
Saya menghadapi ketakutan saya dengan penuh keberanian dan memulai usaha sendiri.,Guts,Menengah
Saya menghadapi ketidakpastian dengan keyakinan karena mengambil keputusan yang tidak populer.,Guts,Menengah
Saya menghadapi ketakutan saya dengan penuh keberanian dan memutuskan untuk melanjutkan pendidikan.,Guts,Menengah
Saya menghadapi risiko besar karena mengambil keputusan yang tidak populer.,Guts,Ringan
Saya menghadapi ketidakpastian dengan keyakinan karena menghadapi ketakutan terbesar saya.,Guts,Ringan
Saya mengambil keputusan besar meski ada banyak keraguan karena menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Ringan
Saya memilih untuk bertahan dalam kesulitan dengan tekad karena menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Menengah
Saya menghadapi kegagalan dengan kepala tegak setelah memulai petualangan baru.,Guts,Menengah
Saya menghadapi kegagalan dengan kepala tegak setelah berbicara di depan umum.,Guts,Ringan
Saya memilih untuk berkembang dengan mengambil mengambil keputusan yang tidak populer.,Guts,Menengah
Saya mengambil langkah besar menuju impian saya meski perjalanan ini penuh dengan tantangan.,Guts,Berat
Saya memilih untuk berkembang dengan mengambil memutuskan untuk melanjutkan pendidikan.,Guts,Ringan
Saya memilih untuk menjadi lebih berani dan mengambil berpindah ke kota baru.,Guts,Menengah
Saya memutuskan untuk keluar dari zona nyaman dengan menyelesaikan masalah besar dalam hubungan pribadi.,Guts,Ringan
Saya memutuskan untuk keluar dari zona nyaman dengan berpindah ke kota baru.,Guts,Berat
Saya melangkah maju meskipun saya merasa takut dengan mengambil keputusan yang tidak populer.,Guts,Berat
Saya menghadapi risiko besar karena berpindah ke kota baru.,Guts,Ringan
